date,temperature,humidity,wind_speed,rainfall,weather_condition
2022-01-01,7.0,89.7,19.4,0.0,Cloudy
2022-01-02,3.0,92.5,9.4,0.0,Cloudy
2022-01-03,8.3,83.9,10.9,6.2,Rainy
2022-01-04,8.9,87.7,23.7,28.4,Rainy
2022-01-05,0.2,89.9,16.0,0.0,Cloudy
2022-01-06,2.1,89.0,3.9,0.0,Cloudy
2022-01-07,6.4,84.9,18.8,16.3,Rainy
2022-01-08,5.1,84.8,15.1,0.0,Cloudy
2022-01-09,5.9,84.2,13.7,0.0,Cloudy
2022-01-10,3.4,71.2,11.6,5.1,Rainy
2022-01-11,8.6,85.6,11.8,0.0,Cloudy
2022-01-12,8.4,69.1,14.1,0.7,Sunny
2022-01-13,6.2,73.6,15.5,0.0,Cloudy
2022-01-14,9.4,90.4,18.6,0.0,Cloudy
2022-01-15,7.5,86.6,24.6,10.5,Rainy
2022-01-16,3.5,91.8,13.2,0.0,Cloudy
2022-01-17,7.2,63.5,12.3,0.0,Cloudy
2022-01-18,3.3,70.6,17.6,0.0,Cloudy
2022-01-19,8.8,77.8,15.7,23.5,Rainy
2022-01-20,6.1,80.5,12.4,0.0,Cloudy
2022-01-21,5.7,80.3,19.7,0.0,Cloudy
2022-01-22,4.3,88.7,20.9,0.0,Cloudy
2022-01-23,10.0,76.7,24.5,5.7,Rainy
2022-01-24,5.9,82.3,25.7,0.0,Cloudy
2022-01-25,5.2,71.5,9.8,0.0,Cloudy
2022-01-26,5.5,82.9,15.1,0.0,Cloudy
2022-01-27,8.2,79.3,15.1,0.0,Cloudy
2022-01-28,7.7,73.2,17.4,10.0,Rainy
2022-01-29,8.0,77.2,11.5,1.5,Cloudy
2022-01-30,8.1,77.5,6.1,0.0,Cloudy
2022-01-31,13.3,76.8,15.7,0.0,Cloudy
2022-02-01,5.7,93.0,11.6,3.9,Cloudy
2022-02-02,5.5,77.9,15.5,0.0,Cloudy
2022-02-03,4.7,76.7,10.2,0.0,Cloudy
2022-02-04,9.1,61.7,12.7,14.3,Rainy
2022-02-05,10.7,71.2,17.8,4.6,Cloudy
2022-02-06,7.0,76.2,15.9,0.0,Cloudy
2022-02-07,5.0,72.7,18.5,0.0,Cloudy
2022-02-08,5.1,89.1,28.7,1.9,Cloudy
2022-02-09,9.6,76.6,16.7,0.0,Cloudy
2022-02-10,10.0,88.1,17.9,0.0,Cloudy
2022-02-11,17.6,78.1,8.5,0.0,Cloudy
2022-02-12,6.0,77.8,7.3,0.0,Cloudy
2022-02-13,8.8,76.6,24.5,0.0,Cloudy
2022-02-14,8.6,77.2,9.5,0.0,Cloudy
2022-02-15,9.0,90.8,9.7,3.3,Cloudy
2022-02-16,11.1,58.3,14.8,0.0,Sunny
2022-02-17,9.3,60.7,17.0,8.5,Rainy
2022-02-18,10.8,72.2,9.6,0.0,Cloudy
2022-02-19,9.1,76.5,15.2,6.8,Rainy
2022-02-20,9.9,81.7,22.4,0.0,Cloudy
2022-02-21,11.1,79.8,21.1,36.6,Rainy
2022-02-22,4.9,72.8,6.6,0.0,Cloudy
2022-02-23,8.5,83.8,23.6,9.8,Rainy
2022-02-24,8.2,83.7,18.0,0.0,Cloudy
2022-02-25,7.8,76.8,11.3,0.0,Cloudy
2022-02-26,9.1,82.8,9.2,12.3,Rainy
2022-02-27,14.5,77.1,10.5,0.0,Cloudy
2022-02-28,7.6,70.2,14.7,0.0,Cloudy
2022-03-01,13.3,80.1,22.0,0.0,Cloudy
2022-03-02,5.5,75.2,8.8,0.0,Cloudy
2022-03-03,9.7,74.1,14.5,0.0,Cloudy
2022-03-04,11.4,85.7,20.7,5.4,Rainy
2022-03-05,12.8,54.1,0.7,0.0,Sunny
2022-03-06,13.3,62.2,23.6,8.1,Rainy
2022-03-07,13.8,63.8,7.9,0.0,Sunny
2022-03-08,10.5,70.2,17.0,0.0,Cloudy
2022-03-09,10.3,70.8,16.5,0.0,Cloudy
2022-03-10,14.5,60.6,21.5,0.0,Sunny
2022-03-11,11.5,64.5,18.3,0.0,Sunny
2022-03-12,8.4,65.3,0.7,0.0,Sunny
2022-03-13,9.0,91.6,11.0,2.2,Cloudy
2022-03-14,9.9,86.1,16.0,0.7,Cloudy
2022-03-15,14.3,68.2,13.8,0.0,Sunny
2022-03-16,13.4,68.3,17.9,0.0,Sunny
2022-03-17,15.3,61.8,19.7,0.0,Sunny
2022-03-18,12.1,55.5,25.7,23.5,Rainy
2022-03-19,14.0,63.5,13.7,0.0,Sunny
2022-03-20,15.6,62.3,3.9,0.0,Sunny
2022-03-21,13.0,69.4,14.5,7.3,Rainy
2022-03-22,15.5,57.0,18.8,4.4,Sunny
2022-03-23,12.4,63.5,8.5,0.0,Sunny
2022-03-24,13.4,70.5,18.8,0.0,Cloudy
2022-03-25,13.6,72.0,20.5,0.0,Cloudy
2022-03-26,11.3,72.2,15.8,0.0,Cloudy
2022-03-27,16.6,58.0,0.0,0.0,Sunny
2022-03-28,17.6,75.2,7.3,0.0,Cloudy
2022-03-29,15.6,61.7,26.3,0.0,Sunny
2022-03-30,17.2,72.9,15.7,0.0,Cloudy
2022-03-31,17.3,67.5,3.1,0.0,Sunny
2022-04-01,18.1,56.3,25.5,10.3,Rainy
2022-04-02,16.1,64.5,15.7,1.9,Sunny
2022-04-03,15.3,69.7,21.6,0.0,Sunny
2022-04-04,16.5,71.5,16.7,0.0,Cloudy
2022-04-05,11.9,65.2,17.8,0.0,Sunny
2022-04-06,12.8,78.3,17.2,0.0,Cloudy
2022-04-07,13.4,73.8,20.2,3.5,Cloudy
2022-04-08,14.6,63.5,28.7,0.0,Sunny
2022-04-09,19.0,71.3,20.8,0.0,Cloudy
2022-04-10,15.3,80.5,5.5,0.0,Cloudy
2022-04-11,17.1,80.4,22.6,16.5,Rainy
2022-04-12,22.3,54.7,21.8,0.0,Sunny
2022-04-13,17.6,56.8,22.2,0.0,Sunny
2022-04-14,21.0,75.8,12.4,0.0,Cloudy
2022-04-15,16.2,55.2,22.0,0.0,Sunny
2022-04-16,18.6,52.9,20.6,0.0,Sunny
2022-04-17,16.6,63.5,30.4,0.0,Sunny
2022-04-18,18.6,66.3,10.5,0.0,Sunny
2022-04-19,22.4,61.9,12.0,0.0,Sunny
2022-04-20,14.9,57.2,13.2,0.0,Sunny
2022-04-21,21.6,56.8,12.1,0.0,Sunny
2022-04-22,21.2,56.2,9.7,0.0,Sunny
2022-04-23,18.9,54.6,0.0,0.0,Sunny
2022-04-24,16.5,79.7,12.4,0.0,Cloudy
2022-04-25,21.3,63.5,17.2,0.0,Sunny
2022-04-26,19.7,68.0,12.0,0.0,Sunny
2022-04-27,22.2,56.8,26.6,0.0,Sunny
2022-04-28,21.7,58.9,15.1,0.0,Sunny
2022-04-29,26.7,54.5,22.7,0.0,Sunny
2022-04-30,21.3,38.7,16.6,0.0,Sunny
2022-05-01,19.2,48.7,15.7,0.0,Sunny
2022-05-02,23.0,45.0,16.7,0.0,Sunny
2022-05-03,23.3,41.2,23.2,0.0,Sunny
2022-05-04,26.9,49.4,15.3,0.0,Sunny
2022-05-05,25.5,69.3,18.0,0.0,Sunny
2022-05-06,24.3,58.2,17.2,0.0,Sunny
2022-05-07,27.8,68.6,16.5,10.7,Rainy
2022-05-08,20.0,61.3,17.4,0.0,Sunny
2022-05-09,21.8,64.1,28.4,0.0,Sunny
2022-05-10,21.1,50.4,17.1,12.5,Rainy
2022-05-11,22.9,61.6,17.5,0.0,Sunny
2022-05-12,20.2,63.0,22.5,0.0,Sunny
2022-05-13,26.4,52.3,21.8,0.0,Sunny
2022-05-14,24.0,61.2,15.1,0.0,Sunny
2022-05-15,20.4,61.0,0.7,0.0,Sunny
2022-05-16,21.9,51.9,18.1,0.0,Sunny
2022-05-17,26.1,47.1,1.7,0.0,Sunny
2022-05-18,27.8,46.4,23.8,0.0,Sunny
2022-05-19,31.5,56.4,16.0,0.0,Sunny
2022-05-20,34.4,58.1,21.0,0.0,Sunny
2022-05-21,27.0,48.9,12.9,11.1,Rainy
2022-05-22,23.0,55.3,5.7,0.0,Sunny
2022-05-23,19.7,59.4,16.6,0.0,Sunny
2022-05-24,27.0,59.6,14.8,0.0,Sunny
2022-05-25,24.0,66.9,12.1,0.0,Sunny
2022-05-26,25.3,64.5,15.5,0.0,Sunny
2022-05-27,24.8,46.1,31.6,0.0,Sunny
2022-05-28,26.4,67.4,20.0,0.0,Sunny
2022-05-29,30.2,49.5,21.3,0.0,Sunny
2022-05-30,27.6,62.0,20.1,0.0,Sunny
2022-05-31,26.8,54.0,23.9,0.0,Sunny
2022-06-01,24.3,50.0,13.9,0.0,Sunny
2022-06-02,22.5,38.7,2.7,0.0,Sunny
2022-06-03,26.2,63.5,13.9,0.0,Sunny
2022-06-04,27.6,40.4,19.9,0.0,Sunny
2022-06-05,33.2,60.4,9.2,0.0,Sunny
2022-06-06,28.4,64.7,13.9,0.0,Sunny
2022-06-07,31.0,46.0,10.8,0.0,Sunny
2022-06-08,26.7,54.7,24.0,0.0,Sunny
2022-06-09,24.8,46.3,19.5,0.0,Sunny
2022-06-10,25.5,47.0,18.9,0.0,Sunny
2022-06-11,26.3,58.1,18.7,0.0,Sunny
2022-06-12,35.0,51.4,14.8,0.0,Sunny
2022-06-13,26.2,65.5,16.2,0.0,Sunny
2022-06-14,17.6,47.6,7.9,0.0,Sunny
2022-06-15,26.2,59.4,5.0,10.2,Rainy
2022-06-16,31.8,52.1,15.9,0.0,Sunny
2022-06-17,17.6,57.6,16.9,0.0,Sunny
2022-06-18,28.7,47.5,29.4,23.7,Rainy
2022-06-19,17.6,50.6,25.9,4.9,Sunny
2022-06-20,27.3,50.0,24.4,0.0,Sunny
2022-06-21,30.7,44.1,9.0,0.0,Sunny
2022-06-22,28.0,56.0,12.9,0.0,Sunny
2022-06-23,25.8,55.9,17.9,0.0,Sunny
2022-06-24,25.7,55.3,30.2,0.0,Sunny
2022-06-25,30.1,62.8,23.9,0.0,Sunny
2022-06-26,34.4,62.0,25.9,13.9,Rainy
2022-06-27,30.2,47.4,12.7,0.0,Sunny
2022-06-28,29.4,53.3,9.7,0.0,Sunny
2022-06-29,30.6,45.3,19.7,0.0,Sunny
2022-06-30,33.7,50.4,8.4,0.0,Sunny
2022-07-01,30.5,45.4,13.6,0.0,Sunny
2022-07-02,28.6,63.1,14.3,0.0,Sunny
2022-07-03,33.2,53.0,24.6,0.0,Sunny
2022-07-04,31.2,48.3,12.9,0.0,Sunny
2022-07-05,34.6,59.6,0.4,0.0,Sunny
2022-07-06,30.5,32.7,18.0,0.0,Sunny
2022-07-07,26.3,33.9,10.8,0.0,Sunny
2022-07-08,25.9,56.4,15.3,0.0,Sunny
2022-07-09,35.0,50.5,14.5,0.0,Sunny
2022-07-10,35.2,52.0,13.4,0.0,Sunny
2022-07-11,29.5,39.4,19.7,0.0,Sunny
2022-07-12,28.8,49.8,5.8,0.0,Sunny
2022-07-13,34.4,66.0,11.9,0.0,Sunny
2022-07-14,26.7,56.6,19.1,0.0,Sunny
2022-07-15,27.3,51.4,11.3,0.0,Sunny
2022-07-16,31.9,46.6,5.3,0.0,Sunny
2022-07-17,28.7,46.9,19.0,0.0,Sunny
2022-07-18,29.9,33.1,21.7,0.0,Sunny
2022-07-19,29.4,52.2,14.7,0.0,Sunny
2022-07-20,30.8,57.0,15.7,0.0,Sunny
2022-07-21,34.0,37.7,19.2,0.0,Sunny
2022-07-22,30.0,45.0,5.0,0.0,Sunny
2022-07-23,31.6,41.1,16.9,0.0,Sunny
2022-07-24,23.5,42.7,9.7,0.0,Sunny
2022-07-25,29.5,50.9,8.0,0.0,Sunny
2022-07-26,27.0,33.9,12.3,0.0,Sunny
2022-07-27,25.8,55.5,13.9,0.0,Sunny
2022-07-28,26.8,56.7,11.1,0.0,Sunny
2022-07-29,28.4,48.8,18.5,0.0,Sunny
2022-07-30,32.1,31.0,12.3,0.0,Sunny
2022-07-31,25.3,43.0,20.9,0.0,Sunny
2022-08-01,29.3,60.9,16.7,0.0,Sunny
2022-08-02,27.6,28.9,10.8,0.0,Sunny
2022-08-03,28.0,48.5,9.8,0.0,Sunny
2022-08-04,31.9,41.9,5.1,0.0,Sunny
2022-08-05,30.5,57.9,16.7,0.0,Sunny
2022-08-06,32.8,46.2,12.9,0.0,Sunny
2022-08-07,28.2,54.9,0.8,0.0,Sunny
2022-08-08,26.5,56.3,11.8,0.0,Sunny
2022-08-09,27.8,66.6,9.6,0.0,Sunny
2022-08-10,29.1,50.4,24.5,0.0,Sunny
2022-08-11,28.8,55.2,4.8,0.0,Sunny
2022-08-12,24.9,40.4,6.4,0.0,Sunny
2022-08-13,28.3,62.0,21.7,0.0,Sunny
2022-08-14,28.6,46.5,23.1,0.0,Sunny
2022-08-15,35.4,48.3,10.5,0.0,Sunny
2022-08-16,33.3,52.7,11.2,0.0,Sunny
2022-08-17,25.0,63.5,18.7,0.0,Sunny
2022-08-18,26.6,55.0,1.0,0.0,Sunny
2022-08-19,22.9,61.1,3.8,0.0,Sunny
2022-08-20,25.4,55.9,21.9,28.7,Rainy
2022-08-21,28.0,41.0,24.3,0.0,Sunny
2022-08-22,30.5,52.9,12.4,0.0,Sunny
2022-08-23,24.6,60.0,15.6,0.0,Sunny
2022-08-24,24.6,39.2,21.8,0.0,Sunny
2022-08-25,20.0,45.8,27.6,0.0,Sunny
2022-08-26,25.8,61.6,11.5,0.0,Sunny
2022-08-27,23.0,56.9,14.9,0.0,Sunny
2022-08-28,24.4,63.5,32.5,21.9,Stormy
2022-08-29,23.2,70.0,5.9,0.0,Sunny
2022-08-30,25.4,59.1,21.2,0.0,Sunny
2022-08-31,20.3,60.8,8.9,0.0,Sunny
2022-09-01,21.0,77.5,16.3,2.4,Cloudy
2022-09-02,31.6,54.3,13.5,0.0,Sunny
2022-09-03,21.2,49.8,9.3,0.0,Sunny
2022-09-04,21.6,59.8,9.1,0.0,Sunny
2022-09-05,30.2,60.1,16.7,0.0,Sunny
2022-09-06,33.3,52.6,21.0,0.0,Sunny
2022-09-07,20.9,48.8,14.2,0.0,Sunny
2022-09-08,23.1,75.7,15.4,0.0,Cloudy
2022-09-09,25.0,60.1,18.4,0.0,Sunny
2022-09-10,29.0,51.8,9.2,0.0,Sunny
2022-09-11,20.7,65.3,19.4,0.0,Sunny
2022-09-12,22.7,57.3,19.9,0.0,Sunny
2022-09-13,25.6,56.4,30.6,0.0,Sunny
2022-09-14,24.4,63.1,12.7,0.0,Sunny
2022-09-15,21.8,48.5,12.3,0.0,Sunny
2022-09-16,22.3,61.9,19.6,0.0,Sunny
2022-09-17,18.4,74.6,23.9,13.4,Rainy
2022-09-18,21.6,63.3,11.8,0.0,Sunny
2022-09-19,21.3,56.8,12.6,0.0,Sunny
2022-09-20,22.6,56.0,18.2,0.0,Sunny
2022-09-21,20.1,57.0,10.0,0.0,Sunny
2022-09-22,23.0,58.5,12.5,0.0,Sunny
2022-09-23,24.4,57.8,15.5,0.0,Sunny
2022-09-24,21.6,68.4,21.0,0.0,Sunny
2022-09-25,22.0,47.4,11.4,0.0,Sunny
2022-09-26,20.9,68.4,5.5,5.3,Rainy
2022-09-27,20.6,58.8,3.5,0.0,Sunny
2022-09-28,18.2,65.1,7.4,0.0,Sunny
2022-09-29,21.1,53.3,7.1,0.0,Sunny
2022-09-30,19.7,73.2,14.1,0.0,Cloudy
2022-10-01,26.0,72.8,11.6,12.5,Rainy
2022-10-02,24.3,70.7,10.8,0.0,Cloudy
2022-10-03,20.5,51.2,10.4,0.0,Sunny
2022-10-04,16.8,70.2,12.4,0.0,Cloudy
2022-10-05,15.6,67.1,22.9,0.0,Sunny
2022-10-06,22.3,51.3,19.0,0.0,Sunny
2022-10-07,19.3,64.2,24.3,30.7,Rainy
2022-10-08,19.8,67.5,12.2,0.0,Sunny
2022-10-09,12.9,69.3,14.0,5.4,Rainy
2022-10-10,20.7,66.5,18.2,4.3,Sunny
2022-10-11,19.1,67.7,18.5,0.0,Sunny
2022-10-12,14.2,77.4,9.6,0.0,Cloudy
2022-10-13,15.9,75.7,15.2,0.0,Cloudy
2022-10-14,17.9,43.2,2.8,0.0,Sunny
2022-10-15,17.0,63.9,16.3,0.0,Sunny
2022-10-16,15.8,65.4,19.6,0.0,Sunny
2022-10-17,16.1,52.9,13.3,0.0,Sunny
2022-10-18,15.5,67.9,25.9,0.0,Sunny
2022-10-19,16.5,77.4,16.4,22.2,Rainy
2022-10-20,20.3,59.0,15.7,0.0,Sunny
2022-10-21,7.9,70.6,22.4,25.3,Rainy
2022-10-22,14.7,60.9,16.2,6.1,Rainy
2022-10-23,15.8,63.1,14.3,0.0,Sunny
2022-10-24,15.9,80.5,15.6,0.0,Cloudy
2022-10-25,13.7,64.6,23.4,11.0,Rainy
2022-10-26,9.4,72.9,25.3,6.7,Rainy
2022-10-27,15.4,54.5,15.0,0.0,Sunny
2022-10-28,19.4,84.6,19.9,0.0,Cloudy
2022-10-29,9.4,74.8,10.8,0.0,Cloudy
2022-10-30,16.4,68.7,19.6,0.0,Sunny
2022-10-31,12.7,75.0,10.4,0.0,Cloudy
2022-11-01,13.3,59.4,21.5,0.0,Sunny
2022-11-02,10.1,80.4,30.9,8.9,Rainy
2022-11-03,12.1,68.5,14.3,0.0,Sunny
2022-11-04,16.8,69.7,1.8,0.0,Sunny
2022-11-05,14.5,67.7,11.7,0.0,Sunny
2022-11-06,17.7,67.2,22.4,0.0,Sunny
2022-11-07,15.9,77.6,15.7,6.0,Rainy
2022-11-08,13.5,74.3,16.5,0.0,Cloudy
2022-11-09,17.2,77.7,21.1,0.0,Cloudy
2022-11-10,13.1,72.7,17.9,0.0,Cloudy
2022-11-11,14.1,77.1,22.3,0.0,Cloudy
2022-11-12,10.6,69.8,20.5,0.0,Sunny
2022-11-13,11.5,91.2,29.5,17.9,Rainy
2022-11-14,9.0,61.1,21.0,12.7,Rainy
2022-11-15,13.9,83.9,20.4,0.0,Cloudy
2022-11-16,7.2,85.0,15.7,2.1,Cloudy
2022-11-17,13.0,67.4,11.4,0.0,Sunny
2022-11-18,9.9,92.3,25.2,0.0,Cloudy
2022-11-19,13.8,82.6,16.8,1.8,Cloudy
2022-11-20,12.4,82.6,21.4,5.2,Rainy
2022-11-21,15.4,75.2,15.7,0.0,Cloudy
2022-11-22,12.0,73.5,11.5,0.0,Cloudy
2022-11-23,5.0,73.7,15.1,0.0,Cloudy
2022-11-24,9.3,78.7,23.6,0.0,Cloudy
2022-11-25,5.9,87.0,19.7,4.6,Cloudy
2022-11-26,7.7,77.4,4.7,0.0,Cloudy
2022-11-27,13.6,68.8,14.2,1.6,Sunny
2022-11-28,10.9,82.9,25.7,0.0,Cloudy
2022-11-29,6.7,83.8,13.7,0.0,Cloudy
2022-11-30,5.7,81.9,4.2,0.0,Cloudy
2022-12-01,8.7,82.7,28.9,8.3,Rainy
2022-12-02,4.8,74.8,20.9,5.9,Rainy
2022-12-03,6.3,69.7,16.2,5.5,Rainy
2022-12-04,17.6,70.3,12.8,0.0,Cloudy
2022-12-05,11.5,64.3,21.5,0.0,Sunny
2022-12-06,9.8,79.4,12.7,3.2,Cloudy
2022-12-07,1.0,77.0,21.9,0.0,Cloudy
2022-12-08,8.7,74.3,18.3,0.0,Cloudy
2022-12-09,7.9,54.3,20.9,14.8,Rainy
2022-12-10,8.8,68.1,18.3,8.0,Rainy
2022-12-11,12.3,87.2,14.5,2.0,Cloudy
2022-12-12,1.2,73.0,21.3,0.0,Cloudy
2022-12-13,5.5,81.3,9.8,0.0,Cloudy
2022-12-14,8.9,67.4,5.3,0.0,Sunny
2022-12-15,2.3,90.2,18.7,0.0,Cloudy
2022-12-16,11.4,77.6,18.8,0.0,Cloudy
2022-12-17,8.0,81.2,17.9,0.0,Cloudy
2022-12-18,9.4,97.6,17.4,0.0,Cloudy
2022-12-19,5.0,91.2,13.1,0.0,Cloudy
2022-12-20,9.1,76.7,19.7,0.0,Cloudy
2022-12-21,9.8,74.5,14.7,0.0,Cloudy
2022-12-22,7.3,76.7,12.1,0.0,Cloudy
2022-12-23,7.2,83.5,13.1,0.0,Cloudy
2022-12-24,7.2,78.6,27.1,0.0,Cloudy
2022-12-25,3.8,76.4,4.6,0.0,Cloudy
2022-12-26,5.9,91.3,18.0,0.0,Cloudy
2022-12-27,5.8,78.7,4.9,0.0,Cloudy
2022-12-28,7.4,98.1,15.8,4.7,Cloudy
2022-12-29,9.2,80.5,12.4,0.0,Cloudy
